Name,X position,Y position,Rotation,Comment,Package
TP3,-66,-45.2,0,TPTP20R,TP20R
TP4,-33.7,-9.6,0,TPTP20R,TP20R
TP5,-37.5,-9.6,0,TPTP20R,TP20R
TP6,-43,-13.3,0,TPTP20R,TP20R
TP7,-33.8,-13.3,0,TPTP20R,TP20R
TP8,-37,-13.3,0,TPTP20R,TP20R
TP9,-26.5,-7,0,TPTP20R,TP20R
U1,-75.87,-34.19,0,W25Q512JVEIQ,SON127P600X800X80-9N
U2,-68.97,-11.51,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,-0.01,-11.25,270,DS3231SN#,SOIC127P1032X265-16N
U4,-64.7,6.87,180,MAX17048G+T10,SON50P200X200X80-9N
BOOT_BUTTON,-61.1,41.45,180,BUTTON_CUSYOMV1,MYBUTTON
